Workclass,Education,Occupation,user_id,feature_timestamp
 Private, Some-college, Machine-op-inspct,9320a566-2dd8-4ec3-ac24-1c50cac8250a,2022-11-21 08:10:10
 Private, HS-grad, Adm-clerical,37ae604c-1a8b-45a3-a5de-98b40503670a,2023-09-05 22:24:35
 Self-emp-not-inc, Assoc-acdm, Prof-specialty,0c2f7e3e-b160-4857-8968-261c29b3f842,2023-06-18 05:44:36
 Private, 9th, Machine-op-inspct,87e43d88-7669-49a6-8554-1406012f000e,2023-04-19 21:47:53
 Self-emp-not-inc, Bachelors, Prof-specialty,c157617c-b7ff-4264-a43d-29336e1f6c06,2023-06-12 19:03:52
 Private, Bachelors, Tech-support,3c46ad11-e49d-4426-98db-6cf9c4c71ee6,2023-08-21 05:06:41
 Private, HS-grad, Adm-clerical,83690483-19a5-43f9-b3dd-aa642abbea4a,2023-02-27 12:10:09
 Private, HS-grad, Handlers-cleaners,c92d56c5-d75b-46c6-a1ef-0d506750007f,2022-12-03 13:14:44
 Federal-gov, Bachelors, Prof-specialty,180dcbf4-d7fa-47e2-869c-f039a0a9a159,2023-08-29 17:17:49
 Private, HS-grad, Machine-op-inspct,d7065ae5-8c8e-4af8-8f97-896926ee5d13,2022-12-13 08:44:22
 Private, Masters, Exec-managerial,edc8e7a9-7316-40ca-8433-231ec2db1b49,2022-12-25 23:51:35
 State-gov, Assoc-voc, Craft-repair,813b5b51-95cf-47fb-af9d-7b6b5c65f07a,2023-03-29 06:42:56
 Private, Assoc-voc, Prof-specialty,c9423796-820a-4528-8111-63bdcb6ad71c,2023-01-03 07:33:52
 Private, Some-college, Exec-managerial,5f7d30cb-20a8-4a0a-8181-406cb07fb975,2022-11-25 06:57:27
 Private, Prof-school, Prof-specialty,88ca072a-31bb-4d84-b511-f2ef5af51120,2023-03-16 21:02:28
 Federal-gov, Bachelors, Exec-managerial,55ece5de-7a79-40a6-b210-153976a1a058,2023-05-12 07:42:44
 Self-emp-inc, HS-grad, Exec-managerial,c45d4e61-b03f-43c2-a1b5-69666532ee22,2023-05-13 12:01:00
 Private, Some-college, Tech-support,3c4aec7c-737e-4176-8b85-c3599f65ec8e,2023-03-10 13:05:25
 Private, 5th-6th, Machine-op-inspct,7eabab70-5fc3-4bde-896b-166dc7f6095a,2022-12-26 14:36:17
 Private, Assoc-voc, Other-service,c96c651f-0cc9-443e-ba27-0e058e5c538d,2023-04-30 17:16:45
 Private, HS-grad, Adm-clerical,86401406-c554-4cb7-b8e0-1ca6f04ac35c,2022-09-19 11:45:15
 Private, HS-grad, Machine-op-inspct,628833c0-66c1-4914-b54c-8af27035b195,2022-11-19 13:04:07
 Private, Bachelors, Sales,086f20c4-33f8-429b-8102-3614903486ab,2023-05-13 14:24:49
 Private, HS-grad, Transport-moving,4522b027-a300-4293-b2f8-3f06b1bf56ff,2022-10-15 21:15:07
 Private, Doctorate, Prof-specialty,4ee07847-895a-40c4-99e7-c6591672b29d,2023-05-30 03:15:55
 Private, Some-college, Tech-support,97cde5c4-efc8-4666-bcfd-6f4debd971f3,2023-07-13 20:49:48
 Private, HS-grad, Craft-repair,bfe10859-b864-4c13-ba70-21d7d8add980,2023-06-08 17:17:41
 Private, Some-college, Adm-clerical,7a00f1f2-015d-4c6f-b934-79f100ad31d4,2022-10-31 06:55:15
 Private, HS-grad, Adm-clerical,82422f01-22c4-4bb9-a7a3-89d0c8792579,2023-01-21 08:17:26
 Self-emp-inc, Some-college, Exec-managerial,413693c2-be45-4bcd-8eab-3f6b262209ff,2023-07-05 10:25:32
 Private, Some-college, Prof-specialty,f79d9d14-61b1-4f2a-beed-cc62f8a0efe8,2023-08-04 02:18:16
 Private, Bachelors, Sales,71365f20-59dd-497c-9226-d6f3204e3184,2023-04-17 10:04:43
 Self-emp-not-inc, Bachelors, Sales,e07a1247-5023-4d38-95f1-ab12edc7d1d8,2023-07-02 10:27:35
 Private, Some-college, Machine-op-inspct,badd84d6-7ec9-406b-810e-42d66fd60aae,2023-07-21 20:51:04
 Private, Some-college, Prof-specialty,0f430e69-e4cc-4211-9fa2-0690ea97e130,2022-12-19 00:50:26
 Private, HS-grad, Other-service,6d8835b2-eae6-497d-89ee-b5645bc3e254,2023-07-08 17:05:04
 Private, Assoc-acdm, Adm-clerical,a2316762-0f7b-432c-8b07-61a35ff2ea45,2023-01-19 17:01:21
 Private, 11th, Other-service,333b78e8-5bff-480f-93c1-47a47ef770bb,2023-06-05 19:11:37
 Local-gov, 7th-8th, Farming-fishing,ea9f06a5-c9f9-40b5-bed0-59bc12a85cbb,2023-03-15 18:47:59
 Private, HS-grad, Sales,3191cbb5-d014-4a2e-9c49-3b5da8c81383,2023-01-13 17:29:53
 Private, Bachelors, Other-service,e033cbd6-1e1d-4937-a987-379ca228e2ea,2023-01-01 04:12:44
 Private, HS-grad, Other-service,29278da4-b255-42c4-8858-a6fffba53539,2023-01-18 22:13:53
 Private, HS-grad, Sales,48775e58-92f4-43cd-9b5a-ba4448c016e3,2023-02-03 22:23:10
 Private, HS-grad, Craft-repair,e3661c6b-ff3c-4595-aebc-7b7d846ea902,2023-06-18 12:10:56
 Private, HS-grad, Sales,3671225d-706e-493f-a93b-b3501075c3d2,2023-07-25 14:51:38
 Local-gov, HS-grad, Protective-serv,b47506c4-2c3d-447c-9e63-b70dfb9902bd,2023-07-18 11:31:10
 Private, Masters, Prof-specialty,d5e8405e-993e-492d-bdce-aad19d816e36,2022-12-09 15:56:23
 Private, 9th, Sales,f565c8b9-151c-445e-885c-82a67f3cc12d,2023-06-25 15:22:31
 Federal-gov, Doctorate, Prof-specialty,1ff1eb5f-96de-4fc7-85e1-f3a3a695174d,2022-10-24 00:09:56
 Private, Assoc-voc, Prof-specialty,67a14cf5-c9c5-4b48-a322-bbae43b7417c,2023-08-15 21:24:19
 Private, Some-college, Craft-repair,ea82b957-d7be-4eea-9e62-9791f1c56a2f,2023-05-14 04:52:47
 Private, Some-college, Machine-op-inspct,d28e300d-826a-42e0-a61e-58cfbc8977fc,2023-07-13 23:26:57
 Local-gov, Bachelors, Protective-serv,8942da37-8c0b-498c-8ae5-9179ec21c7c2,2023-08-28 20:35:25
 Local-gov, Some-college, Handlers-cleaners,c7879b30-32dc-4703-8487-e5407b0e3027,2023-02-19 19:53:16
 Self-emp-not-inc, Doctorate, Prof-specialty,95eb7479-1d52-4c88-a91e-3dad40101111,2022-11-21 19:07:29
 Private, Some-college, Sales,fd124f4b-d853-4dc3-837a-30b61a773308,2023-05-19 01:37:15
 Private, Assoc-acdm, Exec-managerial,e7972650-9824-4a00-b5f6-1781455cf695,2023-01-17 15:24:52
 Federal-gov, HS-grad, Other-service,cce8024a-a31d-4dc4-9019-a65f6b961baa,2023-02-01 21:37:19
 Private, Masters, Exec-managerial,5310e3aa-7c0c-41d6-8a4e-ef3d9f79ff16,2023-06-26 01:19:28
 Private, Bachelors, Exec-managerial,6e83a945-33aa-4058-9399-9fc6fac341ae,2023-06-13 20:59:55
 Self-emp-not-inc, Masters, Prof-specialty,342858e4-565c-4704-b289-ddd68cb196c3,2023-03-10 15:42:36
 Private, Some-college, Tech-support,04a86417-7669-464b-a14f-49d79ee0f270,2022-10-28 11:47:37
 Private, HS-grad, Craft-repair,dfd3997c-337f-46a7-9d08-2dcf1a0c00ff,2023-01-08 12:04:43
 Self-emp-inc, HS-grad, Craft-repair,e5587202-3913-4eeb-ad8b-58f5c8a9b75f,2023-05-18 09:02:20
 Private, 11th, Handlers-cleaners,c21ad5cb-ef8a-43d0-8bba-bbe0bfbbbd41,2023-09-06 05:04:03
 Local-gov, HS-grad, Adm-clerical,08c4d711-e87e-45ba-9cfe-b7fa4bfdb256,2023-03-20 04:41:26
